meeboID	RATIO_MjDC_V1.7	CY3.ng._MjDC_V1.7	CY5.ng._MjDC_V1.7	SeqID	Probe_Name	Type	Name
MJ-500-43	NA	NA	NA	mSQ036989	MJ-500-43_317	MJ	MJ-500-43
MJ-500-44	NA	NA	NA	mSQ036924	MJ-500-44_371	MJ	MJ-500-44
MJ-500-45	NA	NA	NA	mSQ036901	MJ-500-45_58	MJ	MJ-500-45
MJ-500-46	5.00E-01	5	10	mSQ036943	MJ-500-46_196	MJ	MJ-500-46
MJ-500-47	NA	NA	NA	mSQ037066	MJ-500-47_236	MJ	MJ-500-47
MJ-500-48	NA	NA	NA	mSQ037136	MJ-500-48_303	MJ	MJ-500-48
MJ-500-49	NA	NA	NA	mSQ037176	MJ-500-49_235	MJ	MJ-500-49
MJ-500-50	NA	NA	NA	mSQ037000	MJ-500-50_3	MJ	MJ-500-50
MJ-500-51	NA	NA	NA	mSQ037266	MJ-500-51_69	MJ	MJ-500-51
MJ-500-52	2.00E+00	20	10	mSQ036923	MJ-500-52_50	MJ	MJ-500-52
MJ-500-53	NA	NA	NA	mSQ036917	MJ-500-53_4	MJ	MJ-500-53
MJ-500-54	NA	NA	NA	mSQ036950	MJ-500-54_343	MJ	MJ-500-54
MJ-1000-55	4.00E+00	320	80	mSQ037023	MJ-1000-55_462	MJ	MJ-1000-55
MJ-1000-56	2.50E-01	5	20	mSQ037053	MJ-1000-56_266	MJ	MJ-1000-56
MJ-1000-57	NA	NA	NA	mSQ036890	MJ-1000-57_720	MJ	MJ-1000-57
MJ-1000-58	NA	NA	NA	mSQ036966	MJ-1000-58_820	MJ	MJ-1000-58
MJ-1000-59	NA	NA	NA	mSQ036887	MJ-1000-59_228	MJ	MJ-1000-59
MJ-1000-60	6.25E-02	2.5	40	mSQ037254	MJ-1000-60_471	MJ	MJ-1000-60
MJ-1000-61	NA	NA	NA	mSQ036922	MJ-1000-61_865	MJ	MJ-1000-61
MJ-1000-62	NA	NA	NA	mSQ037126	MJ-1000-62_596	MJ	MJ-1000-62
MJ-1000-63	NA	NA	NA	mSQ037011	MJ-1000-63_615	MJ	MJ-1000-63
MJ-1000-64	NA	NA	NA	mSQ036912	MJ-1000-64_164	MJ	MJ-1000-64
MJ-1000-65	1.56E-02	1.25	80	mSQ036940	MJ-1000-65_432	MJ	MJ-1000-65
MJ-1000-66	NA	NA	NA	mSQ036865	MJ-1000-66_57	MJ	MJ-1000-66
MJ-1000-67	NA	NA	NA	mSQ037156	MJ-1000-67_245	MJ	MJ-1000-67
MJ-1000-68	NA	NA	NA	mSQ036993	MJ-1000-68_693	MJ	MJ-1000-68
MJ-1000-69	NA	NA	NA	mSQ037333	MJ-1000-69_321	MJ	MJ-1000-69
MJ-1000-70	NA	NA	NA	mSQ037442	MJ-1000-70_175	MJ	MJ-1000-70
MJ-1000-71	NA	NA	NA	mSQ036884	MJ-1000-71_759	MJ	MJ-1000-71
MJ-1000-72	2.00E+00	20	10	mSQ037010	MJ-1000-72_435	MJ	MJ-1000-72
MJ-1000-73	8.00E+00	5	0.625	mSQ037146	MJ-1000-73_804	MJ	MJ-1000-73
MJ-1000-74	6.25E-02	0.625	10	mSQ037099	MJ-1000-74_823	MJ	MJ-1000-74
MJ-1000-75	1.60E+01	160	10	mSQ036910	MJ-1000-75_640	MJ	MJ-1000-75
MJ-1000-76	NA	NA	NA	mSQ036977	MJ-1000-76_241	MJ	MJ-1000-76
MJ-1000-77	NA	NA	NA	mSQ036930	MJ-1000-77_495	MJ	MJ-1000-77
MJ-1000-78	2.50E-01	40	160	mSQ037012	MJ-1000-78_92	MJ	MJ-1000-78
MJ-2000-79	NA	NA	NA	mSQ037326	MJ-2000-79_2	MJ	MJ-2000-79
MJ-2000-80	NA	NA	NA	mSQ037198	MJ-2000-80_1137	MJ	MJ-2000-80
MJ-2000-81	NA	NA	NA	mSQ037069	MJ-2000-81_1760	MJ	MJ-2000-81
MJ-2000-82	NA	NA	NA	mSQ036866	MJ-2000-82_13	MJ	MJ-2000-82
MJ-2000-83	NA	NA	NA	mSQ037514	MJ-2000-83_947	MJ	MJ-2000-83
MJ-2000-84	NA	NA	NA	mSQ036868	MJ-2000-84_28	MJ	MJ-2000-84
MJ-2000-85	NA	NA	NA	mSQ037222	MJ-2000-85_92	MJ	MJ-2000-85
MJ-2000-86	NA	NA	NA	mSQ037419	MJ-2000-86_1592	MJ	MJ-2000-86
MJ-2000-87	NA	NA	NA	mSQ037007	MJ-2000-87_1614	MJ	MJ-2000-87
MJ-2000-88	NA	NA	NA	mSQ037238	MJ-2000-88_501	MJ	MJ-2000-88
MJ-2000-89	NA	NA	NA	mSQ037407	MJ-2000-89_1762	MJ	MJ-2000-89
MJ-2000-90	NA	NA	NA	mSQ037274	MJ-2000-90_480	MJ	MJ-2000-90
MJ-2000-91	NA	NA	NA	mSQ037043	MJ-2000-91_1773	MJ	MJ-2000-91
MJ-2000-92	NA	NA	NA	mSQ036883	MJ-2000-92_631	MJ	MJ-2000-92
MJ-2000-93	NA	NA	NA	mSQ037033	MJ-2000-93_150	MJ	MJ-2000-93
MJ-2000-94	NA	NA	NA	mSQ036928	MJ-2000-94_40	MJ	MJ-2000-94
MJ-2000-95	NA	NA	NA	mSQ036957	MJ-2000-95_706	MJ	MJ-2000-95
MJ-2000-96	NA	NA	NA	mSQ037369	MJ-2000-96_1758	MJ	MJ-2000-96
MJ-2000-97	NA	NA	NA	mSQ036962	MJ-2000-97_635	MJ	MJ-2000-97
MJ-2000-98	2.00E+00	0.625	0.3125	mSQ036959	MJ-2000-98_1666	MJ	MJ-2000-98
MJ-2000-99	NA	NA	NA	mSQ036902	MJ-2000-99_1391	MJ	MJ-2000-99
MJ-2000-100	NA	NA	NA	mSQ036888	MJ-2000-100_1260	MJ	MJ-2000-100
MJ-2000-101	5.00E-01	20	40	mSQ036986	MJ-2000-101_1500	MJ	MJ-2000-101
MJ-2000-102	6.25E-02	5	80	mSQ037451	MJ-2000-102_1272	MJ	MJ-2000-102
MJ-3000-103	6.40E+01	40	0.625	mSQ037421	MJ-3000-103_2290	MJ	MJ-3000-103
MJ-3000-104	NA	NA	NA	mSQ037097	MJ-3000-104_809	MJ	MJ-3000-104
MJ-3000-105	NA	NA	NA	mSQ036911	MJ-3000-105_1909	MJ	MJ-3000-105
MJ-3000-106	NA	NA	NA	mSQ036916	MJ-3000-106_2479	MJ	MJ-3000-106
MJ-3000-107	NA	NA	NA	mSQ036939	MJ-3000-107_2517	MJ	MJ-3000-107
MJ-3000-108	NA	NA	NA	mSQ036907	MJ-3000-108_2309	MJ	MJ-3000-108
MJ-3000-109	NA	NA	NA	mSQ037305	MJ-3000-109_2901	MJ	MJ-3000-109
MJ-3000-110	NA	NA	NA	mSQ037346	MJ-3000-110_2894	MJ	MJ-3000-110
MJ-3000-111	5.00E-01	160	320	mSQ037047	MJ-3000-111_2561	MJ	MJ-3000-111
MJ-3000-112	NA	NA	NA	mSQ036904	MJ-3000-112_1692	MJ	MJ-3000-112
MJ-3000-113	NA	NA	NA	mSQ037206	MJ-3000-113_1816	MJ	MJ-3000-113
MJ-3000-114	NA	NA	NA	mSQ036915	MJ-3000-114_1506	MJ	MJ-3000-114
MJ-3000-115	NA	NA	NA	mSQ036913	MJ-3000-115_677	MJ	MJ-3000-115
MJ-3000-116	NA	NA	NA	mSQ036961	MJ-3000-116_267	MJ	MJ-3000-116
MJ-3000-117	NA	NA	NA	mSQ037008	MJ-3000-117_2615	MJ	MJ-3000-117
MJ-3000-118	NA	NA	NA	mSQ036875	MJ-3000-118_2619	MJ	MJ-3000-118
MJ-3000-119	NA	NA	NA	mSQ036870	MJ-3000-119_2253	MJ	MJ-3000-119
MJ-3000-120	NA	NA	NA	mSQ036948	MJ-3000-120_266	MJ	MJ-3000-120
MJ-3000-121	6.40E+01	160	2.5	mSQ037125	MJ-3000-121_2581	MJ	MJ-3000-121
MJ-3000-122	NA	NA	NA	mSQ037211	MJ-3000-122_1862	MJ	MJ-3000-122
MJ-1000-123	NA	NA	NA	NA	NA	MJ	MJ-1000-123
MJ-4000-124	NA	NA	NA	mSQ036878	MJ-4000-124_1866	MJ	MJ-4000-124
MJ-4000-125	NA	NA	NA	mSQ036938	MJ-4000-125_896	MJ	MJ-4000-125
MJ-4000-126	NA	NA	NA	mSQ037138	MJ-4000-126_3835	MJ	MJ-4000-126
